annotator,filename,label,length_mm,num_points,start_x,start_y,end_x,end_y,length_cm,root_id
ac,inv_28_07_02.rsml,root_05,1.6020185,5.0,1987.677,338.26538,1982.7903,356.27576,0.16020185,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_02.rsml,root_02,0.6784617,3.0,1027.0,340.95834,1026.3218,348.93427,0.06784617,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_02.rsml,root_01,1.2267184,4.0,712.66516,345.62042,707.8297,359.0207,0.12267184,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_03.rsml,root_04,2.6289403,6.0,1660.4016,352.33032,1662.9658,377.7326,0.26289403,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_03.rsml,root_03,1.74227,4.0,1357.2325,352.63123,1353.7642,372.8679,0.174227,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_03.rsml,root_05,3.273776,8.0,1981.9758,354.91107,1986.9065,392.85004,0.3273776,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_03.rsml,root_02,4.5099990000000005,9.0,1024.8762,345.7011,1021.8176,398.51453,0.4509999,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_03.rsml,root_01,5.4889417,13.0,705.4167,360.58334,681.4159,418.26495,0.54889417,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_04.rsml,root_04,6.846652,13.0,1655.1649,355.5761,1666.0798,433.66074,0.6846652,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_04.rsml,root_03,6.808522,13.0,1357.2325,352.63123,1359.4258,431.5351,0.6808522,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_04.rsml,root_05,7.705807,14.0,1982.1323,356.75797,1991.3218,446.36694,0.7705807,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_04.rsml,root_02,9.4581556,16.0,1024.8762,345.7011,1028.5321,455.942,0.94581556,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_04.rsml,root_01,12.006139000000001,24.0,705.4167,360.58334,650.375,487.25,1.2006139,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_05.rsml,root_04,12.091953,20.0,1655.1649,355.5761,1650.0366,493.43402,1.2091953,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_05.rsml,root_03,12.987063000000001,24.0,1357.2325,352.63123,1359.5,501.5,1.2987063,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_05.rsml,root_05,10.785694,18.0,1982.1323,356.75797,1984.375,481.625,1.0785694,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_05.rsml,root_02,13.40077,22.0,1024.8762,345.7011,1031.125,502.0625,1.340077,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_05.rsml,root_01,16.430006,35.0,705.4167,360.58334,645.125,536.5,1.6430006,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_06.rsml,root_04,17.046255,28.0,1655.1649,355.5761,1624.6355,544.5968,1.7046255,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_06.rsml,root_03,19.571798,35.0,1357.2325,352.63123,1355.5,576.5,1.9571798,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_06.rsml,root_05,11.514185999999999,19.0,1980.4852,362.36325,1976.2397,492.6616,1.1514186,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_06.rsml,root_02,15.489142000000001,25.0,1024.8762,345.7011,1029.8192,526.60516,1.5489142,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_06.rsml,root_01,18.649926,38.0,708.15405,357.5237,644.1667,559.0,1.8649926,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_07.rsml,root_04,21.584751999999998,36.0,1655.1649,355.5761,1611.5383,596.2705,2.1584752,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_07.rsml,root_03,23.142674,40.0,1354.5596,353.04443,1362.2296,619.4165,2.3142674,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_07.rsml,root_05,12.924442,22.0,1978.5344,363.9679,1975.3334,509.75,1.2924442,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_07.rsml,root_02,16.988795,28.0,1024.8762,345.7011,1037.875,542.125,1.6988795,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_07.rsml,root_01,20.64208,41.0,708.15405,357.5237,640.5,581.9167,2.064208,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_08.rsml,root_04,26.208817999999997,46.0,1655.1649,355.5761,1598.9094,648.9004,2.6208818,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_08.rsml,root_03,28.07808,49.0,1354.5596,353.04443,1348.5,674.75,2.807808,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_08.rsml,root_05,14.821672,25.0,1978.5344,363.9679,1979.375,531.625,1.4821672,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_08.rsml,root_02,20.107574,33.0,1024.8762,345.7011,1043.25,578.5,2.0107574,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_08.rsml,root_01,23.798585000000003,45.0,708.15405,357.5237,636.8733,618.478,2.3798585,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_09.rsml,root_04,30.546756,54.0,1655.1649,355.5761,1583.25,697.0833,3.0546756,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_09.rsml,root_03,33.82937,57.0,1354.5596,353.04443,1325.7367,738.7329,3.382937,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_09.rsml,root_05,16.645261,28.0,1978.5344,363.9679,1976.3159,552.9734,1.6645261,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_09.rsml,root_02,23.65064,38.0,1024.8762,345.7011,1049.75,619.75,2.365064,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_09.rsml,root_01,27.888212000000003,56.0,708.15405,357.5237,640.375,666.25,2.7888212,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_10.rsml,root_04,35.588439,63.0,1655.1649,355.5761,1565.1836,753.05945,3.5588439,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_10.rsml,root_03,40.17203000000001,69.0,1354.5596,353.04443,1299.3733,808.1648,4.017203,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_10.rsml,root_05,18.572947,32.0,1978.5344,363.9679,1980.3334,574.8333,1.8572947,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_10.rsml,root_02,27.795230000000004,43.0,1024.8762,345.7011,1046.25,668.625,2.779523,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_10.rsml,root_01,32.29023,63.0,708.15405,357.5237,622.5261,714.39,3.229023,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_11.rsml,root_04,40.74331,72.0,1655.1649,355.5761,1556.3334,813.0,4.074331,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_11.rsml,root_03,45.16745,76.0,1354.5596,353.04443,1287.1666,865.75,4.516745,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_11.rsml,root_05,20.62722,35.0,1978.5344,363.9679,1981.1528,599.0748,2.062722,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_11.rsml,root_02,32.027235,50.0,1024.8762,345.7011,1045.3447,718.3828,3.2027235,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_11.rsml,root_01,37.53911,70.0,708.15405,357.5237,608.93475,774.36035,3.753911,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_12.rsml,root_04,45.44683499999999,80.0,1655.1649,355.5761,1553.0,868.0,4.5446835,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_12.rsml,root_03,51.74953000000001,86.0,1354.5596,353.04443,1265.8334,940.3333,5.174953,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_12.rsml,root_05,22.54258,38.0,1978.5344,363.9679,1981.5,621.6667,2.254258,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_12.rsml,root_02,36.842144000000005,57.0,1024.8762,345.7011,1031.8739,772.6781,3.6842144,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_12.rsml,root_01,43.615537,81.0,708.15405,357.5237,594.62537,843.50476,4.3615537,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_13.rsml,root_04,50.571422999999996,88.0,1655.1649,355.5761,1542.8279,927.47437,5.0571423,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_13.rsml,root_03,59.15689999999999,96.0,1354.5596,353.04443,1230.1134,1019.99084,5.91569,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_13.rsml,root_05,24.368093000000002,42.0,1978.5344,363.9679,1992.3334,639.9167,2.4368093,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_13.rsml,root_02,42.204547000000005,66.0,1024.8762,345.7011,1017.3462,834.3829,4.2204547,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_13.rsml,root_01,50.337167,92.0,708.15405,357.5237,570.5689,918.56885,5.0337167,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_14.rsml,root_04,55.683809999999994,96.0,1655.1649,355.5761,1531.2666,986.6846,5.568381,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_14.rsml,root_03,67.29446,108.0,1354.5596,353.04443,1190.0498,1107.1365,6.729446,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_14.rsml,root_05,25.910378,46.0,1978.5344,363.9679,1996.875,656.625,2.5910378,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_14.rsml,root_02,48.41705,76.0,1024.8762,345.7011,992.26135,902.7158,4.841705,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_14.rsml,root_01,57.731750000000005,102.0,708.15405,357.5237,557.375,1004.875,5.773175,a94b2690-4836-4d70-aaa5-3a684d62c785
ac,inv_28_07_15.rsml,root_04,60.806174000000006,103.0,1655.1649,355.5761,1516.6833,1045.305,6.0806174,a98ab9bd-0c44-4391-98c8-0a8d16695fe7
ac,inv_28_07_15.rsml,root_03,75.22895,120.0,1354.5596,353.04443,1151.5,1192.0,7.522895,c8088be7-fe56-4ebf-aa09-4871fbb7dba2
ac,inv_28_07_15.rsml,root_05,26.645977,48.0,1978.176,371.8623,2001.0,672.25,2.6645977,2c6a56d4-f7b6-4a20-951e-0aa2aca0a885
ac,inv_28_07_15.rsml,root_02,55.064006,86.0,1024.8762,345.7011,978.1357,979.5154,5.5064006,c971960b-a5ed-4b33-911b-aea113a67f78
ac,inv_28_07_15.rsml,root_01,64.91834,112.0,708.15405,357.5237,549.625,1088.75,6.491834,a94b2690-4836-4d70-aaa5-3a684d62c785
AH,inv_28_07_02.rsml,root_05,2.009941,7.0,1986.8064,334.81543,1982.6372,357.47223,0.2009941,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_02.rsml,root_04,0.26843872,2.0,1665.49,356.6411,1667.4769,359.11182,0.026843872,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_02.rsml,root_02,1.3078615,6.0,1031.9995,337.52078,1025.9817,350.90195,0.13078615,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_02.rsml,root_01,1.9941224,5.0,712.3258,342.67932,705.3809,364.73917,0.19941224,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_03.rsml,root_03,1.8805772,5.0,1357.3623,351.05157,1353.6523,372.93658,0.18805772,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_03.rsml,root_05,4.4459596,12.0,1982.0,343.5,1986.2119,395.51355,0.44459596,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_03.rsml,root_04,2.8195829999999997,6.0,1661.8989,352.28485,1662.9033,378.90295,0.2819583,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_03.rsml,root_02,4.7386843,13.0,1027.4501,341.93585,1022.6532,397.15686,0.47386843,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_03.rsml,root_01,6.3768387,13.0,711.8159,352.38947,681.4174,418.41824,0.63768387,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_04.rsml,root_03,6.813536999999999,14.0,1358.5659,350.9845,1359.3904,430.59155,0.6813537,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_04.rsml,root_05,8.6847526,18.0,1982.0,343.5,1992.0984,444.7479,0.86847526,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_04.rsml,root_04,6.077274,13.0,1656.7947,362.0583,1666.5515,431.7903,0.6077274,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_04.rsml,root_02,9.716457,21.0,1027.4501,341.93585,1028.1831,455.09894,0.9716457,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_04.rsml,root_01,12.786584999999999,23.0,714.52014,351.8219,650.9323,485.9345,1.2786585,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_05.rsml,root_03,12.719777,23.0,1356.8439,351.3647,1359.8188,498.87305,1.2719777,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_05.rsml,root_05,10.205865000000001,18.0,1981.189,361.56808,1983.9348,479.71222,1.0205865,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_05.rsml,root_04,11.142453000000001,20.0,1659.1172,364.3548,1649.6012,492.31253,1.1142453,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_05.rsml,root_02,13.015606,26.0,1026.4279,348.23193,1031.1218,500.0569,1.3015606,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_05.rsml,root_01,17.057722,30.0,713.71875,351.7074,645.07275,534.3624,1.7057722,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_06.rsml,root_03,19.188263,30.0,1355.2664,352.10565,1355.7738,574.80646,1.9188263,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_06.rsml,root_05,11.084636000000001,19.0,1980.8333,366.62006,1976.9124,492.20682,1.1084636,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_06.rsml,root_04,16.041703000000002,28.0,1659.1172,364.3548,1624.6295,542.5596,1.6041703,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_06.rsml,root_02,15.10993,30.0,1026.4279,348.23193,1029.8594,524.7229,1.510993,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_06.rsml,root_01,18.050035,31.0,707.3716,361.55103,644.1002,557.9663,1.8050035,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_07.rsml,root_03,22.92743,34.0,1355.2664,352.10565,1362.4861,618.2516,2.292743,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_07.rsml,root_05,12.559797,21.0,1978.5083,365.2036,1975.0804,507.19818,1.2559797,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_07.rsml,root_04,20.720387,33.0,1659.1172,364.3548,1612.0513,596.1124,2.0720387,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_07.rsml,root_02,16.699106,33.0,1026.4279,348.23193,1037.5641,541.4415,1.6699106,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_07.rsml,root_01,20.9295,37.0,712.4347,352.2809,640.87994,580.6127,2.09295,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_08.rsml,root_03,27.73933,43.0,1355.2664,352.10565,1350.3002,673.0197,2.773933,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_08.rsml,root_05,14.680755000000001,24.0,1978.5083,365.2036,1978.9413,530.65393,1.4680755,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_08.rsml,root_04,25.242884,42.0,1659.1172,364.3548,1599.219,647.6182,2.5242884,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_08.rsml,root_02,19.72688,39.0,1026.4279,348.23193,1041.6445,576.9022,1.972688,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_08.rsml,root_01,23.962526,41.0,712.4347,352.2809,638.0523,615.8646,2.3962526,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_09.rsml,root_03,33.566964,53.0,1355.2664,352.10565,1325.9275,736.9052,3.3566964,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_09.rsml,root_05,16.537158,27.0,1978.5083,365.2036,1976.8511,552.3252,1.6537158,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_09.rsml,root_04,29.436296999999996,49.0,1659.1172,364.3548,1584.5226,694.4779,2.9436297,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_09.rsml,root_02,23.341284,44.0,1026.4279,348.23193,1049.7559,618.39856,2.3341284,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_09.rsml,root_01,28.101242000000003,48.0,712.4347,352.2809,639.99866,664.3302,2.8101242,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_10.rsml,root_03,39.961293000000005,64.0,1355.2664,352.10565,1300.1016,807.26697,3.9961293,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_10.rsml,root_05,16.947274999999998,29.0,1981.0752,382.92865,1980.1953,574.1603,1.6947275,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_10.rsml,root_04,34.64606,59.0,1659.1172,364.3548,1565.5159,752.79047,3.464606,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_10.rsml,root_02,27.510023,50.0,1025.781,349.04306,1045.3018,668.2861,2.7510023,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_10.rsml,root_01,32.268665,55.0,710.234,356.43347,622.6139,714.4077,3.2268665,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_11.rsml,root_03,44.869394,72.0,1355.2664,352.10565,1287.45,863.8485,4.4869394,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_11.rsml,root_05,18.894385,32.0,1981.0752,382.92865,1980.8712,597.51874,1.8894385,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_11.rsml,root_04,39.63327,67.0,1659.1172,364.3548,1556.1562,810.97687,3.963327,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_11.rsml,root_02,31.69963,56.0,1025.781,349.04306,1045.4388,717.6542,3.169963,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_11.rsml,root_01,36.445840000000004,64.0,706.4878,367.418,609.1593,773.50116,3.644584,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_12.rsml,root_03,51.479277999999994,84.0,1355.2664,352.10565,1267.1013,938.4443,5.1479278,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_12.rsml,root_05,20.857182,36.0,1981.0752,382.92865,1980.9219,620.6166,2.0857182,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_12.rsml,root_04,44.382753,76.0,1659.1172,364.3548,1551.8674,866.7407,4.4382753,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_12.rsml,root_02,36.447759,63.0,1025.781,349.04306,1032.0244,771.4276,3.6447759,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_12.rsml,root_01,42.513870000000004,74.0,706.4878,367.418,594.68646,843.1251,4.251387,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_13.rsml,root_03,58.97137,97.0,1355.2664,352.10565,1231.095,1018.8374,5.897137,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_13.rsml,root_05,22.632835,39.0,1981.0752,382.92865,1991.9834,638.8235,2.2632835,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_13.rsml,root_04,49.49944000000001,86.0,1659.1172,364.3548,1543.2516,926.25336,4.949944,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_13.rsml,root_02,41.764717,71.0,1025.781,349.04306,1017.8435,832.5961,4.1764717,f3995c03-c560-4929-97d0-221f9e5ac4eb
AH,inv_28_07_13.rsml,root_01,49.194449999999996,85.0,706.4878,367.418,571.1214,917.7727,4.919445,bf9d1822-bdd5-467a-8477-950dd3c7325f
AH,inv_28_07_14.rsml,root_03,67.22193200000001,110.0,1355.2664,352.10565,1189.9175,1106.6316,6.7221932,0f8e2848-a26f-43fb-b656-e5b09a4d10e4
AH,inv_28_07_14.rsml,root_05,25.301793,45.0,1978.2141,369.33817,1996.1245,655.1023,2.5301793,80f568a1-462c-499e-af53-3c9fd610c0a3
AH,inv_28_07_14.rsml,root_04,54.66912,95.0,1659.1172,364.3548,1531.5303,986.1238,5.466912,d13c363b-13cb-49b4-8c5f-1b27308174ac
AH,inv_28_07_14.rsml,root_02,47.988615,79.0,1025.781,349.04306,992.6782,901.3624,4.7988615,f3995c03-c560-4929-97d0-221f9e5ac4eb
